50			
1000	20001	0	0
1000	20002	0	0
1000	20003	0	0
1000	20004	0	0
1000	20005	0	0
1000	20006	0	0
1000	20007	0	0
1000	20008	0	0
1000	20009	0	0
1000	20010	0	0
1000	20011	0	0
1000	20012	0	0
1000	20013	0	0
1000	20014	0	0
1000	20015	0	0
1000	20016	0	0
1000	20017	0	0
1000	20018	0	0
1000	20019	0	0
1000	20020	0	0
20002	20021	10	0
20002	20022	10	0
20002	20023	10	0
20002	20024	10	0
20002	20025	10	0
20002	20026	0	0
20002	20027	0	0
20002	20028	0	0
20002	20029	0	0
20002	20030	0	0
20026	20031	10	0
20026	20032	10	0
20026	20033	10	0
20026	20034	10	0
20026	20035	10	0
20026	20036	0	0
20026	20037	0	0
20026	20038	0	0
20026	20039	0	0
20026	20040	0	0
20037	20041	100	0
20037	20042	100	0
20037	20043	100	0
20037	20044	100 	0
20037	20045	100	0
20037	20046	0	0
20037	20047	0	0
20037	20048	0	0
20037	20049	0	0
20037	20050	0	0
